Region,Maker,Brand,Model,Model year,Supplier,Products,Component category,Category
China,Tesla China,Tesla,Model Y (RR) (China),2022,"Zhejiang Yinlun Machinery Co., Ltd.",Water cooling parts for ADAS chip,Electronic Control Unit,Electrical
China,Tesla China,Tesla,Model Y (RR) (China),2022,Valeo Group,Milliwave radar,Milliwave and Laser Radar / LiDAR,Electrical
China,Tesla China,Tesla,Model Y (RR) (China),2022,Mobileye Vision Technologies Ltd.,Front inline triple camera,On-board Camera,Electrical
China,Tesla China,Tesla,Model Y (RR) (China),2022,Shanghai Baolong Automotive Corporation,Tire pressure monitoring system,Tire Pressure Monitoring System,Electrical
Americas,Tesla,Tesla,Model Y (USA),2022,Denso Thermal Systems S.p.A.,A/C compressor,A/C Compressor,Electrical
Americas,Tesla,Tesla,Model Y (USA),2022,Toyota Industries Corporation,Electric A/C compressor,A/C Compressor,Electrical
Americas,Tesla,Tesla,Model Y (USA),2022,Leopold Kostal GmbH & Co. KG,Steering column control module,Lever Combination Switch,Electrical
Americas,Tesla,Tesla,Model Y (USA),2022,"Brose North America, Inc.",Front power window motor,Motor / Actuator,Electrical
Americas,Tesla,Tesla,Model Y (USA),2022,"Brose North America, Inc.",Rear power window motor,Motor / Actuator,Electrical
Americas,Tesla,Tesla,Model Y (USA),2022,Bosch [Robert Bosch LLC],Steering column motor,Motor / Actuator,Electrical
Americas,Tesla,Tesla,Model Y (USA),2022,TE Connectivity Ltd. (Formerly Tyco Electronics Ltd.),High-voltage DC relay,Relay / Fuse,Electrical
Americas,Tesla,Tesla,Model Y (USA),2022,Preh GmbH,Frunk switch,Switch,Electrical
Americas,Tesla,Tesla,Model Y (USA),2022,Preh GmbH,Seat dump switch,Switch,Electrical
Americas,Tesla,Tesla,Model Y (USA),2022,Preh GmbH,Shoulder switch,Switch,Electrical
Americas,Tesla,Tesla,Model Y (USA),2022,ACC ELCOM,High-voltage wiring harness,Wiring Harness,Electrical
China,Tesla China,Tesla,Model 3 (4WD) (China),2021,"Zhejiang Sanhua Intelligent Controls Co., Ltd.",Electronic expansion valve,Air Conditioning / HVAC,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Nanjing Aotecar New Energy Technology Co., Ltd.",Electric A/C compressor,A/C Compressor,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Hanon Auto Parts (Shanghai) Co., Ltd.",Air conditioning system,Air Conditioning / HVAC,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Zhejiang Sanhua Intelligent Controls Co., Ltd.",Electronic expansion valve,Air Conditioning / HVAC,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Nanjing Yunhai Special Metals Co., Ltd.",HVAC multiport extrusions tube,Air Conditioning / HVAC,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Anhui Tatfook Technology Co., Ltd. (Formerly Shenzhen Tatfook Technology Co., Ltd.)",Antenna,Antenna,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"NavInfo Co., Ltd.",Navigation map,Car Navigation System,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Suzhou Dongshan Precision Manufacturing Co., Ltd.",A/C condenser,Condenser,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Wuhu Token Sciences Co., Ltd.",Central control screen module,Display,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Suzhou Current Power Technology Co., Ltd.",High-voltage connector,Electrical Connector,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2021,Ningbo Joyson Electronic Corporation,Circuit protection system,Electronic Control Unit,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Suzhou Dongshan Precision Manufacturing Co., Ltd.",Flexible printed circuit board (FPC),Electronic Control Unit,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Victory Giant Technology (HuiZhou) Co., Ltd.",Printed circuit board (PCB),Electronic Control Unit,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Olympic Circuit Technology Co., Ltd.",Printed circuit board (PCB),Electronic Control Unit,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"WUS Printed Circuit (Kunshan) Co., Ltd.",Printed circuit board (PCB),Electronic Control Unit,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2021,Tesla,System on a chip (SoC),Electronic Control Unit,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2021,Valeo Group,Milliwave radar,Milliwave and Laser Radar / LiDAR,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2021,Continental AG,Milliwave Radar,Milliwave and Laser Radar / LiDAR,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Yanfeng Adient Founder Motor Co., Ltd.",Seat motor,Motor / Actuator,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Mobileye (Shanghai) Automotive Service Co., Ltd.",On-board camera,On-board Camera,Electrical
